kind,offset,length,width_px,height_px,file,note
graphic,0x04b920,98,32,22,graphics/gfx_0010f8_32x22_1bpp.png,run after 0x001058
graphic-header,0x04b920,98,32,22,headers/gfx_0010f8_32x22_1bpp.h,run after 0x001058
graphic,0x04b982,54,16,22,graphics/gfx_00115a_16x22_1bpp.png,run after 0x001058
graphic-header,0x04b982,54,16,22,headers/gfx_00115a_16x22_1bpp.h,run after 0x001058
graphic,0x04b9b8,26,128,1,graphics/gfx_001190_128x1_1bpp.png,direct: PTR_FUN_000086c0
graphic-header,0x04b9b8,26,128,1,headers/gfx_001190_128x1_1bpp.h,direct: PTR_FUN_000086c0
graphic,0x04b9d2,70,48,10,graphics/gfx_0011aa_48x10_1bpp.png,run after 0x001190
graphic-header,0x04b9d2,70,48,10,headers/gfx_0011aa_48x10_1bpp.h,run after 0x001190
graphic,0x04ba18,50,40,8,graphics/gfx_0011f0_40x8_1bpp.png,run after 0x001190
graphic-header,0x04ba18,50,40,8,headers/gfx_0011f0_40x8_1bpp.h,run after 0x001190
graphic,0x04ba4a,50,40,8,graphics/gfx_001222_40x8_1bpp.png,run after 0x001190
graphic-header,0x04ba4a,50,40,8,headers/gfx_001222_40x8_1bpp.h,run after 0x001190
graphic,0x04ba7c,28,16,9,graphics/gfx_001254_16x9_1bpp.png,run after 0x001190
graphic-header,0x04ba7c,28,16,9,headers/gfx_001254_16x9_1bpp.h,run after 0x001190
graphic,0x04ba98,60,40,10,graphics/gfx_001270_40x10_1bpp.png,run after 0x001190
graphic-header,0x04ba98,60,40,10,headers/gfx_001270_40x10_1bpp.h,run after 0x001190
graphic,0x04bad4,34,24,8,graphics/gfx_0012ac_24x8_1bpp.png,run after 0x001190
graphic-header,0x04bad4,34,24,8,headers/gfx_0012ac_24x8_1bpp.h,run after 0x001190
graphic,0x04baf6,70,48,10,graphics/gfx_0012ce_48x10_1bpp.png,run after 0x001190
graphic-header,0x04baf6,70,48,10,headers/gfx_0012ce_48x10_1bpp.h,run after 0x001190
graphic,0x04bb3c,58,48,8,graphics/gfx_001314_48x8_1bpp.png,run after 0x001190
graphic-header,0x04bb3c,58,48,8,headers/gfx_001314_48x8_1bpp.h,run after 0x001190
graphic,0x04bb76,97,24,29,graphics/gfx_00134e_24x29_1bpp.png,run after 0x001190
graphic-header,0x04bb76,97,24,29,headers/gfx_00134e_24x29_1bpp.h,run after 0x001190
graphic,0x04bbd7,103,24,31,graphics/gfx_0013af_24x31_1bpp.png,run after 0x001190
graphic-header,0x04bbd7,103,24,31,headers/gfx_0013af_24x31_1bpp.h,run after 0x001190
graphic,0x04bc3e,50,16,20,graphics/gfx_001416_16x20_1bpp.png,run after 0x001190
graphic-header,0x04bc3e,50,16,20,headers/gfx_001416_16x20_1bpp.h,run after 0x001190
graphic,0x04bc70,118,32,27,graphics/gfx_001448_32x27_1bpp.png,direct: PTR_DAT_00008770
graphic-header,0x04bc70,118,32,27,headers/gfx_001448_32x27_1bpp.h,direct: PTR_DAT_00008770
graphic,0x04bce6,43,24,11,graphics/gfx_0014be_24x11_1bpp.png,run after 0x001448
graphic-header,0x04bce6,43,24,11,headers/gfx_0014be_24x11_1bpp.h,run after 0x001448
graphic,0x04bd11,43,24,11,graphics/gfx_0014e9_24x11_1bpp.png,run after 0x001448
graphic-header,0x04bd11,43,24,11,headers/gfx_0014e9_24x11_1bpp.h,run after 0x001448
graphic,0x04bd3c,43,24,11,graphics/gfx_001514_24x11_1bpp.png,run after 0x001448
graphic-header,0x04bd3c,43,24,11,headers/gfx_001514_24x11_1bpp.h,run after 0x001448
graphic,0x04bd67,43,24,11,graphics/gfx_00153f_24x11_1bpp.png,run after 0x001448
graphic-header,0x04bd67,43,24,11,headers/gfx_00153f_24x11_1bpp.h,run after 0x001448
graphic,0x04bd92,43,24,11,graphics/gfx_00156a_24x11_1bpp.png,run after 0x001448
graphic-header,0x04bd92,43,24,11,headers/gfx_00156a_24x11_1bpp.h,run after 0x001448
graphic,0x04bdbd,32,16,11,graphics/gfx_001595_16x11_1bpp.png,direct: DAT_00007c74
graphic-header,0x04bdbd,32,16,11,headers/gfx_001595_16x11_1bpp.h,direct: DAT_00007c74
graphic,0x04bddd,22,8,12,graphics/gfx_0015b5_8x12_1bpp.png,run after 0x001595
graphic-header,0x04bddd,22,8,12,headers/gfx_0015b5_8x12_1bpp.h,run after 0x001595
